,Unnamed: 0,Item1,Item2,book,chapter,sentences_index,contain_ren,Start,End
205,8634,其,仁,analects,里仁,110,True,-480,-350
206,8639,其,仁,analects,里仁,110,True,-480,-350
207,8645,为,仁,analects,里仁,110,True,-480,-350
208,8650,为,仁,analects,里仁,110,True,-480,-350
209,8656,仁,矣,analects,里仁,110,True,-480,-350
210,8657,仁,不,analects,里仁,110,True,-480,-350
211,8658,仁,使,analects,里仁,110,True,-480,-350
212,8659,仁,不,analects,里仁,110,True,-480,-350
213,8660,仁,仁,analects,里仁,110,True,-480,-350
214,8661,仁,者,analects,里仁,110,True,-480,-350
215,8662,仁,加,analects,里仁,110,True,-480,-350
216,8663,仁,乎,analects,里仁,110,True,-480,-350
217,8664,仁,其,analects,里仁,110,True,-480,-350
218,8665,仁,身,analects,里仁,110,True,-480,-350
219,8669,矣,仁,analects,里仁,110,True,-480,-350
220,8677,不,仁,analects,里仁,110,True,-480,-350
221,8684,使,仁,analects,里仁,110,True,-480,-350
222,8690,不,仁,analects,里仁,110,True,-480,-350
223,8696,仁,者,analects,里仁,110,True,-480,-350
224,8697,仁,加,analects,里仁,110,True,-480,-350
225,8698,仁,乎,analects,里仁,110,True,-480,-350
226,8699,仁,其,analects,里仁,110,True,-480,-350
227,8700,仁,身,analects,里仁,110,True,-480,-350
228,8718,有,仁,analects,里仁,111,True,-480,-350
229,8727,能,仁,analects,里仁,111,True,-480,-350
230,8735,一,仁,analects,里仁,111,True,-480,-350
231,8742,日,仁,analects,里仁,111,True,-480,-350
232,8748,用,仁,analects,里仁,111,True,-480,-350
233,8753,其,仁,analects,里仁,111,True,-480,-350
234,8757,力,仁,analects,里仁,111,True,-480,-350
235,8760,于,仁,analects,里仁,111,True,-480,-350
236,8763,仁,矣,analects,里仁,111,True,-480,-350
237,8764,仁,乎,analects,里仁,111,True,-480,-350
238,8854,观,仁,analects,里仁,115,True,-480,-350
239,8858,过,仁,analects,里仁,115,True,-480,-350
240,8861,斯,仁,analects,里仁,115,True,-480,-350
241,8863,知,仁,analects,里仁,115,True,-480,-350
242,8865,仁,矣,analects,里仁,115,True,-480,-350
243,10219,雍,仁,analects,公冶长,147,True,-480,-350
244,10223,也,仁,analects,公冶长,147,True,-480,-350
245,10227,仁,而,analects,公冶长,147,True,-480,-350
246,10228,仁,不,analects,公冶长,147,True,-480,-350
247,10229,仁,佞,analects,公冶长,147,True,-480,-350
248,10291,子路,仁,analects,公冶长,151,True,-480,-350
249,10293,仁,乎,analects,公冶长,151,True,-480,-350
250,12527,回,仁,analects,雍也,188,True,-480,-350
251,12544,也,仁,analects,雍也,188,True,-480,-350
252,12560,其,仁,analects,雍也,188,True,-480,-350
253,12575,心,仁,analects,雍也,188,True,-480,-350
254,12589,三,仁,analects,雍也,188,True,-480,-350
255,12602,月,仁,analects,雍也,188,True,-480,-350
256,12614,不,仁,analects,雍也,188,True,-480,-350
257,12625,违,仁,analects,雍也,188,True,-480,-350
258,12636,仁,其,analects,雍也,188,True,-480,-350
259,12637,仁,余,analects,雍也,188,True,-480,-350
260,12638,仁,则,analects,雍也,188,True,-480,-350
261,12639,仁,日,analects,雍也,188,True,-480,-350
262,12640,仁,月,analects,雍也,188,True,-480,-350
263,12641,仁,至,analects,雍也,188,True,-480,-350
264,12642,仁,焉,analects,雍也,188,True,-480,-350
265,12643,仁,而,analects,雍也,188,True,-480,-350
266,12644,仁,已,analects,雍也,188,True,-480,-350
267,12645,仁,矣,analects,雍也,188,True,-480,-350
268,13875,知,仁,analects,雍也,215,True,-480,-350
269,13883,知,仁,analects,雍也,215,True,-480,-350
270,13890,知,仁,analects,雍也,215,True,-480,-350
271,13895,者,仁,analects,雍也,215,True,-480,-350
272,13903,者,仁,analects,雍也,215,True,-480,-350
273,13910,者,仁,analects,雍也,215,True,-480,-350
274,13914,乐,仁,analects,雍也,215,True,-480,-350
275,13922,乐,仁,analects,雍也,215,True,-480,-350
276,13929,乐,仁,analects,雍也,215,True,-480,-350
277,13932,水,仁,analects,雍也,215,True,-480,-350
278,13940,水,仁,analects,雍也,215,True,-480,-350
279,13947,水,仁,analects,雍也,215,True,-480,-350
280,13950,仁,者,analects,雍也,215,True,-480,-350
281,13951,仁,乐,analects,雍也,215,True,-480,-350
282,13952,仁,山,analects,雍也,215,True,-480,-350
283,13953,仁,；,analects,雍也,215,True,-480,-350
284,13954,仁,知,analects,雍也,215,True,-480,-350
285,13955,仁,者,analects,雍也,215,True,-480,-350
286,13956,仁,动,analects,雍也,215,True,-480,-350
287,13957,仁,仁,analects,雍也,215,True,-480,-350
288,13958,仁,者,analects,雍也,215,True,-480,-350
289,13959,仁,静,analects,雍也,215,True,-480,-350
290,13960,仁,；,analects,雍也,215,True,-480,-350
291,13961,仁,知,analects,雍也,215,True,-480,-350
292,13962,仁,者,analects,雍也,215,True,-480,-350
293,13963,仁,乐,analects,雍也,215,True,-480,-350
294,13964,仁,仁,analects,雍也,215,True,-480,-350
295,13965,仁,者,analects,雍也,215,True,-480,-350
296,13966,仁,寿,analects,雍也,215,True,-480,-350
297,13973,者,仁,analects,雍也,215,True,-480,-350
298,13980,者,仁,analects,雍也,215,True,-480,-350
299,13988,乐,仁,analects,雍也,215,True,-480,-350
300,13995,乐,仁,analects,雍也,215,True,-480,-350
301,14002,山,仁,analects,雍也,215,True,-480,-350
302,14009,山,仁,analects,雍也,215,True,-480,-350
303,14015,；,仁,analects,雍也,215,True,-480,-350
304,14022,；,仁,analects,雍也,215,True,-480,-350
305,14027,知,仁,analects,雍也,215,True,-480,-350
